2019-01-29 17:09:24,384 | INFO | DefaultCamelContext.java 3138 | Apache Camel 2.23.1 (CamelContext: camel-1) is starting
2019-01-29 17:09:24,389 | INFO | ManagedManagementStrategy.java 205 | JMX is enabled
2019-01-29 17:09:24,667 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 195, classpath: 0)
2019-01-29 17:09:24,845 | INFO | DefaultCamelContext.java 3465 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2019-01-29 17:09:24,857 | INFO | FileEndpoint.java 103 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2019-01-29 17:09:24,857 | INFO | FileEndpoint.java 109 | Using default memory based idempotent repository with cache max size: 1000
2019-01-29 17:09:24,971 | INFO | DefaultCamelContext.java 4034 | Route: route1 started and consuming from: file://data/input?noop=true
2019-01-29 17:09:24,971 | INFO | DefaultCamelContext.java 3186 | Total 1 routes, of which 1 are started
2019-01-29 17:09:24,973 | INFO | DefaultCamelContext.java 3197 | Apache Camel 2.23.1 (CamelContext: camel-1) started in 0.593 seconds
2019-01-29 17:09:29,973 | INFO | DefaultCamelContext.java 3496 | Apache Camel 2.23.1 (CamelContext: camel-1) is shutting down
2019-01-29 17:09:29,974 | INFO | DefaultShutdownStrategy.java 195 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
2019-01-29 17:09:29,981 | INFO | DefaultShutdownStrategy.java 671 | Route: route1 shutdown complete, was consuming from: file://data/input?noop=true
2019-01-29 17:09:29,981 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2019-01-29 17:09:29,995 | INFO | DefaultCamelContext.java 3596 | Apache Camel 2.23.1 (CamelContext: camel-1) uptime 5.617 seconds
2019-01-29 17:09:29,995 | INFO | DefaultCamelContext.java 3597 | Apache Camel 2.23.1 (CamelContext: camel-1) is shutdown in 0.022 seconds
2019-01-29 17:19:42,318 | INFO | DefaultCamelContext.java 3138 | Apache Camel 2.23.1 (CamelContext: camel-1) is starting
2019-01-29 17:19:42,323 | INFO | ManagedManagementStrategy.java 205 | JMX is enabled
2019-01-29 17:19:42,561 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 195, classpath: 0)
2019-01-29 17:19:42,702 | INFO | DefaultCamelContext.java 3465 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2019-01-29 17:19:42,709 | INFO | FileEndpoint.java 103 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2019-01-29 17:19:42,709 | INFO | FileEndpoint.java 109 | Using default memory based idempotent repository with cache max size: 1000
2019-01-29 17:19:42,803 | INFO | DefaultCamelContext.java 4034 | Route: route1 started and consuming from: file://data/input?noop=true
2019-01-29 17:19:42,803 | INFO | DefaultCamelContext.java 3186 | Total 1 routes, of which 1 are started
2019-01-29 17:19:42,805 | INFO | DefaultCamelContext.java 3197 | Apache Camel 2.23.1 (CamelContext: camel-1) started in 0.490 seconds
